timestamp,user_id,department,login_hour,session_duration_min,bytes_transferred_mb,failed_logins,endpoints_accessed,sensitive_endpoints_hit,unique_ips,commands_executed,is_anomaly,anomaly_type
2026-01-01 07:22:00,user_048,Operations,7,404,6.72,0,5,2,1,11,0,normal
2026-01-01 08:11:00,user_011,Operations,8,444,48.97,0,5,2,1,24,0,normal
2026-01-01 08:35:00,user_029,Finance,8,307,35.75,1,3,1,1,41,0,normal
2026-01-01 10:24:00,user_007,IT,10,267,44.1,0,4,1,1,53,0,normal
2026-01-01 10:30:00,user_022,Engineering,10,352,42.9,0,5,2,1,40,0,normal
2026-01-01 10:33:00,user_047,IT,10,453,23.54,0,3,2,1,18,0,normal
2026-01-01 11:01:00,user_009,IT,11,124,27.57,0,2,0,1,13,0,normal
2026-01-01 11:03:00,user_037,IT,11,409,18.31,0,5,1,1,21,0,normal
2026-01-01 11:19:00,user_043,HR,11,15,28.67,0,4,1,1,11,0,normal
2026-01-01 11:35:00,user_029,Finance,11,423,1.82,0,3,1,1,26,0,normal
2026-01-01 11:48:00,user_003,HR,11,261,8.34,1,1,1,1,74,0,normal
2026-01-01 11:50:00,user_040,HR,11,70,13.44,0,2,0,1,72,0,normal
2026-01-01 11:55:00,user_042,Engineering,11,429,36.1,0,4,1,1,38,0,normal
2026-01-01 12:01:00,user_029,Finance,12,339,35.84,0,4,1,1,68,0,normal
2026-01-01 12:22:00,user_033,Finance,12,148,13.64,0,5,2,1,55,0,normal
2026-01-01 12:38:00,user_027,HR,12,354,49.55,2,4,2,1,79,0,normal
2026-01-01 12:47:00,user_021,Finance,12,440,46.85,1,3,2,1,41,0,normal
2026-01-01 13:12:00,user_002,IT,13,32,16.8,0,4,0,1,55,0,normal
2026-01-01 13:41:00,user_030,Operations,13,180,21.68,2,1,0,1,40,0,normal
2026-01-01 13:52:00,user_012,IT,13,209,21.93,0,3,1,1,7,0,normal
2026-01-01 13:54:00,user_039,IT,13,143,39.95,0,2,1,1,8,0,normal
2026-01-01 14:14:00,user_025,Operations,14,398,19.28,0,1,1,1,43,0,normal
2026-01-01 16:18:00,user_039,IT,16,180,17.14,0,5,2,1,64,0,normal
2026-01-01 16:40:00,user_020,Engineering,16,225,21.26,0,2,0,1,12,0,normal
2026-01-01 16:51:00,user_046,Engineering,16,88,45.8,0,1,0,1,44,0,normal
2026-01-01 17:14:00,user_029,Finance,17,377,11.52,0,2,0,1,41,0,normal
